<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.03.07	00:00:00	1.08716	1.08837	1.08617	1.08617	3346	0	14
2022.03.07	04:00:00	1.08612	1.08847	1.08207	1.08787	10822	0	15
2022.03.07	08:00:00	1.08782	1.08967	1.08537	1.08617	11641	0	15
2022.03.07	12:00:00	1.08622	1.09237	1.08057	1.08857	15705	0	15
2022.03.07	16:00:00	1.08867	1.09302	1.08477	1.08597	17027	0	15
2022.03.07	20:00:00	1.08592	1.08997	1.08447	1.08667	10903	0	15
2022.03.08	00:00:00	1.08692	1.08707	1.08487	1.08567	3083	0	15
2022.03.08	04:00:00	1.08567	1.08837	1.08527	1.08697	6106	0	15
2022.03.08	08:00:00	1.08696	1.09207	1.08507	1.08957	13003	0	15
2022.03.08	12:00:00	1.08962	1.09197	1.08647	1.09047	13278	0	15
2022.03.08	16:00:00	1.09047	1.09237	1.08717	1.08797	16572	0	15
2022.03.08	20:00:00	1.08797	1.09577	1.08767	1.09062	16904	0	15
2022.03.09	00:00:00	1.09057	1.09137	1.08897	1.09137	3182	0	15
2022.03.09	04:00:00	1.09137	1.09197	1.09047	1.09162	4011	0	15
2022.03.09	08:00:00	1.09162	1.09555	1.09086	1.09488	27370	0	14
2022.03.09	12:00:00	1.09489	1.09920	1.09393	1.09849	40239	0	14
2022.03.09	16:00:00	1.09848	1.10911	1.09828	1.10698	62968	0	14
2022.03.09	20:00:00	1.10699	1.10947	1.10610	1.10661	31174	0	14
2022.03.10	00:00:00	1.10691	1.10776	1.10464	1.10533	7677	0	14
2022.03.10	04:00:00	1.10534	1.10620	1.10409	1.10533	13591	0	14
2022.03.10	08:00:00	1.10533	1.10713	1.10257	1.10321	27958	0	14
2022.03.10	12:00:00	1.10320	1.11206	1.10249	1.10976	65456	0	14
2022.03.10	16:00:00	1.10977	1.11071	1.09795	1.10059	72684	0	14
2022.03.10	20:00:00	1.10058	1.10080	1.09804	1.09805	20858	0	14
2022.03.11	00:00:00	1.09808	1.10182	1.09786	1.09974	7872	0	14
2022.03.11	04:00:00	1.09975	1.10098	1.09801	1.10006	14587	0	14
2022.03.11	08:00:00	1.10007	1.10081	1.09652	1.09775	29801	0	14
2022.03.11	12:00:00	1.09774	1.10430	1.09595	1.09859	50802	0	14
2022.03.11	16:00:00	1.09860	1.10103	1.09280	1.09352	57477	0	14
2022.03.11	20:00:00	1.09351	1.09362	1.09014	1.09103	22971	0	14
2022.03.14	00:00:00	1.09280	1.09383	1.09193	1.09285	11290	0	14
2022.03.14	04:00:00	1.09286	1.09370	1.08999	1.09165	23691	0	14
2022.03.14	08:00:00	1.09164	1.09593	1.09081	1.09558	34497	0	14
2022.03.14	12:00:00	1.09557	1.09891	1.09393	1.09573	48586	0	14
2022.03.14	16:00:00	1.09569	1.09932	1.09344	1.09734	54127	0	14
2022.03.14	20:00:00	1.09735	1.09786	1.09387	1.09388	25213	0	14
2022.03.15	00:00:00	1.09420	1.09548	1.09300	1.09497	11993	0	14
2022.03.15	04:00:00	1.09496	1.09848	1.09370	1.09818	31708	0	14
2022.03.15	08:00:00	1.09817	1.10192	1.09663	1.10030	56174	0	14
2022.03.15	12:00:00	1.10031	1.10072	1.09773	1.09898	43514	0	14
2022.03.15	16:00:00	1.09897	1.09992	1.09374	1.09507	69484	0	14
2022.03.15	20:00:00	1.09508	1.09533	1.09255	1.09458	25264	0	14
2022.03.16	00:00:00	1.09524	1.09733	1.09477	1.09562	12710	0	14
2022.03.16	04:00:00	1.09563	1.09767	1.09553	1.09672	18199	0	14
2022.03.16	08:00:00	1.09672	1.10047	1.09553	1.09901	41303	0	14
2022.03.16	12:00:00	1.09900	1.10242	1.09795	1.09885	52465	0	14
2022.03.16	16:00:00	1.09886	1.10393	1.09848	1.10003	82800	0	14
2022.03.16	20:00:00	1.10002	1.10461	1.09495	1.10372	93079	0	14
2022.03.17	00:00:00	1.10325	1.10517	1.10067	1.10507	14632	0	14
2022.03.17	04:00:00	1.10508	1.10514	1.10291	1.10338	19946	0	14
2022.03.17	08:00:00	1.10338	1.10665	1.10214	1.10524	27187	0	14
2022.03.17	12:00:00	1.10521	1.10645	1.10226	1.10451	45773	0	14
2022.03.17	16:00:00	1.10452	1.11326	1.10436	1.11303	40735	0	14
2022.03.17	20:00:00	1.11304	1.11369	1.10886	1.10903	16008	0	14
2022.03.18	00:00:00	1.10916	1.11181	1.10886	1.10990	11441	0	14
2022.03.18	04:00:00	1.10991	1.11031	1.10759	1.10762	15255	0	14
2022.03.18	08:00:00	1.10762	1.10936	1.10555	1.10672	25704	0	14
2022.03.18	12:00:00	1.10671	1.10699	1.10148	1.10199	35621	0	14
2022.03.18	16:00:00	1.10200	1.10716	1.10029	1.10600	37596	0	14
2022.03.18	20:00:00	1.10601	1.10632	1.10416	1.10487	12284	0	14
2022.03.21	00:00:00	1.10438	1.10473	1.10370	1.10446	2215	0	14
2022.03.21	04:00:00	1.10445	1.10530	1.10401	1.10402	4387	0	14
2022.03.21	08:00:00	1.10404	1.10620	1.10340	1.10558	13961	0	14
2022.03.21	12:00:00	1.10559	1.10695	1.10249	1.10332	19280	0	14
2022.03.21	16:00:00	1.10331	1.10517	1.10257	1.10413	26953	0	14
2022.03.21	20:00:00	1.10414	1.10431	1.10095	1.10155	16148	0	14
2022.03.22	00:00:00	1.10158	1.10251	1.09804	1.09859	6764	0	14
2022.03.22	04:00:00	1.09860	1.10045	1.09833	1.09848	13660	0	14
2022.03.22	08:00:00	1.09848	1.10109	1.09603	1.10066	20052	0	14
2022.03.22	12:00:00	1.10065	1.10339	1.09865	1.10150	26247	0	14
2022.03.22	16:00:00	1.10151	1.10451	1.10107	1.10171	26018	0	14
2022.03.22	20:00:00	1.10172	1.10325	1.10139	1.10296	8367	0	14
2022.03.23	00:00:00	1.10286	1.10433	1.10202	1.10247	6595	0	14
2022.03.23	04:00:00	1.10247	1.10342	1.10204	1.10270	10310	0	14
2022.03.23	08:00:00	1.10271	1.10392	1.10098	1.10156	13100	0	14
2022.03.23	12:00:00	1.10157	1.10169	1.09743	1.09861	20468	0	14
2022.03.23	16:00:00	1.09860	1.10064	1.09635	1.10013	24488	0	14
2022.03.23	20:00:00	1.10014	1.10111	1.09966	1.10084	7854	0	14
2022.03.24	00:00:00	1.10083	1.10130	1.10002	1.10019	5072	0	14
2022.03.24	04:00:00	1.10019	1.10027	1.09798	1.09849	10440	0	14
2022.03.24	08:00:00	1.09849	1.10002	1.09715	1.09769	16926	0	14
2022.03.24	12:00:00	1.09768	1.10005	1.09716	1.09826	20711	0	14
2022.03.24	16:00:00	1.09827	1.10129	1.09653	1.09851	27718	0	14
2022.03.24	20:00:00	1.09852	1.10051	1.09817	1.09968	10037	0	14
2022.03.25	00:00:00	1.09960	1.10103	1.09949	1.10083	5772	0	14
2022.03.25	04:00:00	1.10082	1.10371	1.10074	1.10314	14209	0	14
2022.03.25	08:00:00	1.10313	1.10332	1.10104	1.10152	13959	0	14
2022.03.25	12:00:00	1.10154	1.10217	1.09999	1.10026	16977	0	14
2022.03.25	16:00:00	1.10027	1.10239	1.09803	1.09870	32837	0	14
2022.03.25	20:00:00	1.09871	1.09960	1.09814	1.09847	12190	0	14
2022.03.28	00:00:00	1.09801	1.09839	1.09667	1.09701	4218	0	14
2022.03.28	04:00:00	1.09700	1.09742	1.09498	1.09536	14339	0	14
2022.03.28	08:00:00	1.09535	1.09987	1.09440	1.09902	26725	0	14
2022.03.28	12:00:00	1.09901	1.09927	1.09505	1.09560	24204	0	14
2022.03.28	16:00:00	1.09559	1.09988	1.09458	1.09936	27160	0	14
2022.03.28	20:00:00	1.09935	1.09987	1.09739	1.09853	9821	0	14
2022.03.29	00:00:00	1.09853	1.09971	1.09684	1.09730	9431	0	14
2022.03.29	04:00:00	1.09729	1.09967	1.09726	1.09847	13913	0	14
2022.03.29	08:00:00	1.09846	1.10175	1.09784	1.09843	22962	0	14
2022.03.29	12:00:00	1.09842	1.11283	1.09744	1.11122	42077	0	14
2022.03.29	16:00:00	1.11123	1.11365	1.10773	1.10795	40293	0	14
2022.03.29	20:00:00	1.10794	1.10936	1.10709	1.10866	10845	0	14
2022.03.30	00:00:00	1.10833	1.10987	1.10820	1.10969	8867	0	14
2022.03.30	04:00:00	1.10970	1.11206	1.10964	1.11101	18917	0	14
2022.03.30	08:00:00	1.11100	1.11558	1.11049	1.11557	28894	0	14
2022.03.30	12:00:00	1.11556	1.11611	1.11111	1.11243	27455	0	14
2022.03.30	16:00:00	1.11244	1.11704	1.11190	1.11566	28292	0	14
2022.03.30	20:00:00	1.11565	1.11620	1.11471	1.11586	8318	0	1
2022.03.31	00:00:00	1.11577	1.11742	1.11556	1.11734	9113	0	9
2022.03.31	04:00:00	1.11733	1.11842	1.11571	1.11599	10849	0	14
2022.03.31	08:00:00	1.11599	1.11751	1.11120	1.11287	23292	0	14
2022.03.31	12:00:00	1.11288	1.11312	1.10874	1.11012	23532	0	14
2022.03.31	16:00:00	1.11013	1.11323	1.10687	1.10810	34768	0	14
2022.03.31	20:00:00	1.10809	1.10930	1.10604	1.10669	11648	0	1
2022.04.01	00:00:00	1.10642	1.10754	1.10590	1.10667	7416	0	13
2022.04.01	04:00:00	1.10668	1.10725	1.10609	1.10632	9847	0	14
2022.04.01	08:00:00	1.10633	1.10751	1.10424	1.10601	23531	0	14
