<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.03.07	02:00:00	1.08716	1.08787	1.08716	1.08772	461	0	14
2022.03.07	02:30:00	1.08771	1.08790	1.08642	1.08727	428	0	14
2022.03.07	03:00:00	1.08732	1.08837	1.08702	1.08717	1422	0	15
2022.03.07	03:30:00	1.08717	1.08787	1.08617	1.08617	1035	0	15
2022.03.07	04:00:00	1.08612	1.08657	1.08207	1.08292	2158	0	15
2022.03.07	04:30:00	1.08293	1.08472	1.08277	1.08427	2167	0	15
2022.03.07	05:00:00	1.08427	1.08527	1.08367	1.08447	1207	0	15
2022.03.07	05:30:00	1.08447	1.08527	1.08357	1.08447	1083	0	15
2022.03.07	06:00:00	1.08452	1.08847	1.08407	1.08727	1312	0	15
2022.03.07	06:30:00	1.08727	1.08747	1.08657	1.08702	1369	0	15
2022.03.07	07:00:00	1.08707	1.08737	1.08627	1.08637	787	0	15
2022.03.07	07:30:00	1.08637	1.08797	1.08627	1.08787	739	0	15
2022.03.07	08:00:00	1.08782	1.08867	1.08707	1.08747	1050	0	15
2022.03.07	08:30:00	1.08747	1.08797	1.08657	1.08757	924	0	15
2022.03.07	09:00:00	1.08762	1.08887	1.08747	1.08877	1156	0	15
2022.03.07	09:30:00	1.08872	1.08872	1.08707	1.08727	965	0	15
2022.03.07	10:00:00	1.08727	1.08967	1.08717	1.08847	1663	0	15
2022.03.07	10:30:00	1.08847	1.08867	1.08657	1.08707	1697	0	15
2022.03.07	11:00:00	1.08707	1.08897	1.08667	1.08677	2403	0	15
2022.03.07	11:30:00	1.08682	1.08767	1.08537	1.08617	1783	0	15
2022.03.07	12:00:00	1.08622	1.08697	1.08557	1.08617	1766	0	15
2022.03.07	12:30:00	1.08617	1.08677	1.08497	1.08562	1481	0	15
2022.03.07	13:00:00	1.08572	1.08587	1.08177	1.08177	1431	0	15
2022.03.07	13:30:00	1.08172	1.08327	1.08057	1.08317	1476	0	15
2022.03.07	14:00:00	1.08318	1.08417	1.08277	1.08297	1537	0	15
2022.03.07	14:30:00	1.08297	1.08637	1.08257	1.08591	1787	0	15
2022.03.07	15:00:00	1.08590	1.08927	1.08547	1.08887	2519	0	15
2022.03.07	15:30:00	1.08882	1.09237	1.08837	1.08857	3708	0	15
2022.03.07	16:00:00	1.08867	1.09087	1.08847	1.09027	2622	0	15
2022.03.07	16:30:00	1.09027	1.09197	1.08897	1.08977	2293	0	15
2022.03.07	17:00:00	1.08977	1.09302	1.08937	1.09223	2595	0	15
2022.03.07	17:30:00	1.09224	1.09227	1.08897	1.08907	2186	0	15
2022.03.07	18:00:00	1.08907	1.08957	1.08577	1.08637	2151	0	15
2022.03.07	18:30:00	1.08642	1.08827	1.08637	1.08757	1919	0	15
2022.03.07	19:00:00	1.08757	1.08767	1.08587	1.08607	1544	0	15
2022.03.07	19:30:00	1.08606	1.08717	1.08477	1.08597	1717	0	15
2022.03.07	20:00:00	1.08592	1.08777	1.08577	1.08767	1235	0	15
2022.03.07	20:30:00	1.08767	1.08887	1.08707	1.08757	1920	0	15
2022.03.07	21:00:00	1.08752	1.08997	1.08707	1.08967	1534	0	15
2022.03.07	21:30:00	1.08967	1.08977	1.08737	1.08797	1286	0	15
2022.03.07	22:00:00	1.08792	1.08897	1.08632	1.08637	1210	0	15
2022.03.07	22:30:00	1.08637	1.08637	1.08447	1.08464	1622	0	15
2022.03.07	23:00:00	1.08465	1.08707	1.08462	1.08697	1195	0	15
2022.03.07	23:30:00	1.08697	1.08707	1.08597	1.08667	901	0	15
2022.03.08	00:00:00	1.08692	1.08707	1.08577	1.08597	306	0	15
2022.03.08	00:30:00	1.08597	1.08617	1.08517	1.08517	288	0	15
2022.03.08	01:30:00	1.08527	1.08537	1.08512	1.08532	303	0	15
2022.03.08	02:00:00	1.08527	1.08597	1.08517	1.08547	361	0	15
2022.03.08	02:30:00	1.08552	1.08657	1.08547	1.08657	293	0	15
2022.03.08	03:00:00	1.08657	1.08687	1.08577	1.08627	673	0	15
2022.03.08	03:30:00	1.08627	1.08647	1.08487	1.08567	859	0	15
2022.03.08	04:00:00	1.08567	1.08707	1.08527	1.08677	1071	0	15
2022.03.08	04:30:00	1.08672	1.08797	1.08577	1.08747	1099	0	15
2022.03.08	05:00:00	1.08747	1.08837	1.08737	1.08767	803	0	15
2022.03.08	05:30:00	1.08772	1.08817	1.08702	1.08747	932	0	15
2022.03.08	06:00:00	1.08742	1.08787	1.08702	1.08707	712	0	15
2022.03.08	06:30:00	1.08708	1.08757	1.08667	1.08672	439	0	15
2022.03.08	07:00:00	1.08667	1.08717	1.08642	1.08717	493	0	15
2022.03.08	07:30:00	1.08712	1.08717	1.08657	1.08697	557	0	15
2022.03.08	08:00:00	1.08696	1.08697	1.08577	1.08577	858	0	15
2022.03.08	08:30:00	1.08578	1.08647	1.08552	1.08587	652	0	15
2022.03.08	09:00:00	1.08592	1.08657	1.08542	1.08557	931	0	15
2022.03.08	09:30:00	1.08558	1.08607	1.08517	1.08597	850	0	15
2022.03.08	10:00:00	1.08602	1.08697	1.08507	1.08692	1528	0	15
2022.03.08	10:30:00	1.08697	1.08827	1.08587	1.08607	1880	0	15
2022.03.08	11:00:00	1.08607	1.09207	1.08557	1.09167	3525	0	15
2022.03.08	11:30:00	1.09172	1.09202	1.08827	1.08957	2779	0	15
2022.03.08	12:00:00	1.08962	1.09037	1.08657	1.08777	2386	0	15
2022.03.08	12:30:00	1.08772	1.08957	1.08737	1.08867	1797	0	15
2022.03.08	13:00:00	1.08867	1.08867	1.08667	1.08737	1555	0	15
2022.03.08	13:30:00	1.08737	1.09037	1.08647	1.08977	1741	0	15
2022.03.08	14:00:00	1.08982	1.09027	1.08912	1.08917	1198	0	15
2022.03.08	14:30:00	1.08917	1.08927	1.08807	1.08907	1259	0	15
2022.03.08	15:00:00	1.08907	1.09197	1.08907	1.09067	1790	0	15
2022.03.08	15:30:00	1.09067	1.09127	1.08957	1.09047	1552	0	15
2022.03.08	16:00:00	1.09047	1.09057	1.08837	1.08977	2085	0	15
2022.03.08	16:30:00	1.08977	1.09167	1.08867	1.09147	1786	0	15
